threshold,w_CAI,w_GC,w_Kozak,w_TIS,w_TTS,balanced_accuracy
0.7,0.06,0.01,0.02,0.4,0.5,0.9149018709397791
0.7,0.04,0.02,0.02,0.4,0.5,0.9149018709397791
0.7,0.04,0.01,0.02,0.4,0.5,0.9148701936183437
0.7,0.08,0.01,0.02,0.4,0.5,0.914807654319373
0.7,0.08,0.02,0.02,0.4,0.5,0.9145109256486283
0.7,0.02,0.01,0.04,0.4,0.5,0.9144560554259482
0.7,0.04,0.03,0.02,0.4,0.5,0.9144187837151767
0.7,0.06,0.02,0.02,0.4,0.5,0.9144152640127949
0.7,0.02,0.03,0.02,0.4,0.5,0.9143498346829697
0.7,0.02,0.01,0.02,0.45,0.5,0.9143154530030528
0.6499999999999999,0.08,0.01,0.02,0.4,0.45,0.9143154530030528
0.7,0.06,0.03,0.02,0.4,0.5,0.9142605827803727
0.7,0.02,0.02,0.02,0.4,0.5,0.914213381633983
0.6499999999999999,0.04,0.01,0.02,0.4,0.45,0.9141845943434024
0.7,0.04,0.01,0.04,0.4,0.5,0.9141150156396683
0.6499999999999999,0.02,0.01,0.02,0.4,0.45,0.9140818933028056
0.6499999999999999,0.02,0.02,0.02,0.4,0.45,0.9140798186158512
0.6499999999999999,0.02,0.03,0.02,0.4,0.45,0.9140707045241334
0.6499999999999999,0.06,0.01,0.02,0.4,0.45,0.9140263934085985
0.6499999999999999,0.06,0.01,0.04,0.4,0.45,0.9140236890501171
0.7,0.08,0.03,0.02,0.4,0.5,0.9139905667132543
0.7,0.04,0.01,0.06,0.4,0.5,0.9139828976369638
0.7,0.04,0.01,0.02,0.45,0.5,0.9139441809107649
0.6499999999999999,0.08,0.01,0.02,0.4,0.5,0.913873972535504
0.7,0.08,0.01,0.04,0.45,0.45,0.9138590783820768
0.7,0.06,0.01,0.04,0.4,0.5,0.9138485192749317
0.7,0.02,0.02,0.04,0.4,0.5,0.9138274010606413
0.7,0.04,0.02,0.04,0.4,0.5,0.9138147672665418
0.7,0.08,0.01,0.04,0.4,0.5,0.9138021334724422
0.5999999999999999,0.06,0.01,0.02,0.4,0.4,0.9138021334724422
0.6499999999999999,0.02,0.01,0.04,0.4,0.45,0.913736704142617
0.5999999999999999,0.04,0.01,0.02,0.4,0.4,0.9137331844402353
0.6499999999999999,0.06,0.02,0.02,0.4,0.45,0.9137296647378537
0.7,0.06,0.01,0.02,0.45,0.5,0.9137149562567997
0.7,0.04,0.02,0.02,0.45,0.5,0.913711436554418
0.7,0.02,0.03,0.04,0.4,0.5,0.9137064718366089
0.6499999999999999,0.04,0.02,0.02,0.4,0.45,0.9137050268211816
0.6499999999999999,0.04,0.03,0.02,0.4,0.45,0.9136994324318455
0.6499999999999999,0.06,0.02,0.02,0.4,0.5,0.9136911336840281
0.6499999999999999,0.04,0.03,0.02,0.4,0.5,0.9136911336840281
0.7,0.02,0.01,0.02,0.4,0.5,0.9136774988736549
0.6499999999999999,0.02,0.01,0.02,0.45,0.5,0.9136517872863021
0.5999999999999999,0.08,0.01,0.02,0.4,0.45,0.9136356337898209
0.5999999999999999,0.04,0.01,0.02,0.4,0.45,0.9136236296672484
0.5999999999999999,0.04,0.02,0.02,0.4,0.4,0.9136228143233481
0.5999999999999999,0.06,0.03,0.02,0.4,0.4,0.9136010664375308
0.6499999999999999,0.02,0.02,0.02,0.45,0.45,0.9135905073303856
0.7,0.02,0.02,0.06,0.4,0.5,0.9135834679256223
0.6499999999999999,0.06,0.01,0.02,0.45,0.45,0.9135813932386678
0.5999999999999999,0.08,0.02,0.02,0.4,0.4,0.913567314429141
0.7,0.08,0.01,0.02,0.45,0.5,0.9135532356196141
0.6499999999999999,0.02,0.03,0.02,0.45,0.45,0.9135406018255146
0.5999999999999999,0.02,0.01,0.02,0.4,0.45,0.9135314877337968
0.7,0.02,0.01,0.04,0.45,0.5,0.9135300427183695
0.6499999999999999,0.04,0.01,0.04,0.4,0.45,0.913518038595797
0.6499999999999999,0.04,0.02,0.04,0.4,0.45,0.9135124442064608
0.6499999999999999,0.04,0.01,0.02,0.4,0.5,0.9135068498171248
0.5999999999999999,0.06,0.01,0.02,0.4,0.45,0.9135062201455978
0.5999999999999999,0.08,0.01,0.02,0.4,0.4,0.9135018850993157
0.6499999999999999,0.08,0.02,0.02,0.4,0.5,0.9134956610384527
0.7,0.06,0.01,0.04,0.45,0.45,0.9134954753660793
0.6499999999999999,0.04,0.01,0.02,0.45,0.45,0.9134822119004529
0.7,0.04,0.03,0.02,0.5,0.45,0.9134716527933076
0.6499999999999999,0.02,0.01,0.02,0.45,0.45,0.9134575739837808
0.7,0.08,0.02,0.04,0.45,0.45,0.9134505345790174
0.5999999999999999,0.02,0.01,0.02,0.4,0.4,0.913444124845781
0.7,0.06,0.02,0.04,0.4,0.5,0.9134434951742539
0.7,0.08,0.01,0.02,0.45,0.45,0.9134391601279719
0.7,0.08,0.01,0.06,0.4,0.45,0.9134300460362541
0.7,0.06,0.02,0.06,0.4,0.45,0.9134300460362541
0.5999999999999999,0.06,0.02,0.02,0.4,0.4,0.9134273416777727
0.7,0.02,0.01,0.02,0.5,0.5,0.9134091134943372
0.5999999999999999,0.02,0.02,0.02,0.4,0.4,0.913404778448055
0.5999999999999999,0.04,0.02,0.02,0.4,0.45,0.9133944050132832
0.7,0.06,0.01,0.02,0.5,0.45,0.9133689517527108
0.7,0.08,0.02,0.02,0.45,0.5,0.9133577629740388
0.7,0.08,0.02,0.02,0.45,0.45,0.9133555026147111
0.7,0.02,0.01,0.02,0.45,0.45,0.9133546872708107
0.7,0.06,0.02,0.04,0.45,0.45,0.9133478335384206
0.7,0.04,0.01,0.02,0.5,0.45,0.9133407941336571
0.7,0.08,0.03,0.02,0.45,0.5,0.9133380897751757
0.7,0.04,0.03,0.04,0.4,0.5,0.9133351997443211
0.6499999999999999,0.02,0.01,0.02,0.4,0.5,0.9133331250573666
0.7,0.06,0.03,0.02,0.45,0.5,0.9133169715608855
0.7,0.02,0.01,0.06,0.4,0.5,0.9133084871406947
0.7,0.08,0.02,0.04,0.4,0.45,0.913306226781367
0.5999999999999999,0.02,0.03,0.02,0.4,0.4,0.9132944083311678
0.7,0.06,0.02,0.02,0.5,0.45,0.9132888139418318
0.7,0.02,0.02,0.02,0.5,0.5,0.9132881842703048
0.7,0.02,0.02,0.02,0.45,0.5,0.9132873689264044
0.6499999999999999,0.02,0.02,0.02,0.4,0.5,0.9132867392548774
0.6499999999999999,0.08,0.01,0.02,0.45,0.45,0.913284664567923
0.7,0.02,0.01,0.06,0.45,0.45,0.9132768098192593
0.6499999999999999,0.06,0.01,0.02,0.4,0.5,0.9132670660560145
0.5999999999999999,0.02,0.02,0.02,0.4,0.45,0.91326499136906
0.7,0.06,0.02,0.02,0.45,0.5,0.9132621013382054
0.7,0.04,0.02,0.02,0.5,0.45,0.9132606563227781
0.7,0.04,0.01,0.02,0.5,0.5,0.9132579519642967
0.5999999999999999,0.02,0.03,0.02,0.4,0.45,0.9132488378725789
0.7,0.08,0.01,0.02,0.5,0.45,0.9132480225286785
0.7,0.04,0.03,0.06,0.4,0.45,0.9132472071847781
0.7,0.06,0.03,0.02,0.45,0.45,0.9132472071847781
0.6499999999999999,0.08,0.01,0.04,0.4,0.45,0.9132459478417241
0.7,0.04,0.02,0.04,0.45,0.45,0.9132416127954421
0.7,0.02,0.03,0.02,0.45,0.5,0.9132339437191517
0.7,0.02,0.02,0.02,0.5,0.45,0.9132324987037244
0.7,0.02,0.03,0.02,0.45,0.45,0.913231683359824
0.6499999999999999,0.08,0.03,0.02,0.45,0.4,0.9132304240167699
0.7,0.04,0.02,0.02,0.45,0.45,0.9132281636574422
0.6499999999999999,0.02,0.02,0.04,0.4,0.45,0.9132269043143881
0.7,0.08,0.03,0.04,0.4,0.45,0.9132225692681062
0.7,0.04,0.01,0.04,0.45,0.45,0.9132204945811517
0.6499999999999999,0.08,0.02,0.02,0.4,0.45,0.9132198649096248
0.7,0.06,0.01,0.06,0.4,0.5,0.9132121958333344
0.6499999999999999,0.06,0.01,0.02,0.45,0.4,0.9132064157716249
0.7,0.04,0.03,0.04,0.45,0.45,0.9132022663977162
0.6499999999999999,0.04,0.02,0.02,0.4,0.5,0.9131960423368531
0.7,0.04,0.03,0.02,0.45,0.5,0.9131875579166624
0.7,0.02,0.02,0.04,0.45,0.45,0.9131832228703802
0.6499999999999999,0.04,0.02,0.02,0.45,0.45,0.9131819635273262
0.5999999999999999,0.04,0.03,0.02,0.4,0.4,0.9131734791071354
0.7,0.06,0.01,0.02,0.5,0.5,0.9131637353438906
0.6499999999999999,0.08,0.02,0.02,0.45,0.4,0.9131614749845629
0.7,0.02,0.01,0.04,0.45,0.45,0.9131585849537083
0.5999999999999999,0.02,0.01,0.02,0.45,0.4,0.9131552509236999
0.6499999999999999,0.08,0.02,0.02,0.45,0.45,0.9131531762367455
0.7,0.06,0.02,0.02,0.45,0.45,0.9131480258465631
0.7,0.08,0.02,0.06,0.4,0.45,0.9131403567702727
0.7,0.08,0.02,0.04,0.4,0.5,0.9131397270987456
0.6499999999999999,0.08,0.01,0.04,0.4,0.4,0.9131374667394179
0.6499999999999999,0.04,0.01,0.02,0.45,0.5,0.9131279086485464
0.7,0.06,0.03,0.04,0.4,0.45,0.9131198682275093
0.7,0.08,0.03,0.04,0.45,0.45,0.9131130144951193
0.5499999999999999,0.02,0.01,0.02,0.4,0.4,0.913110310136638
0.6499999999999999,0.04,0.01,0.02,0.4,0.4,0.9131035290586548
0.6499999999999999,0.08,0.03,0.02,0.4,0.45,0.9130954159832108
0.7,0.08,0.03,0.02,0.45,0.45,0.9130925259523559
0.6499999999999999,0.04,0.03,0.02,0.45,0.45,0.913091266609302
0.6499999999999999,0.02,0.02,0.02,0.45,0.5,0.9130906369377749
0.7,0.04,0.01,0.04,0.45,0.5,0.9130771877997751
0.7,0.06,0.01,0.06,0.4,0.45,0.9130770021274017
0.5999999999999999,0.04,0.01,0.02,0.45,0.4,0.9130680737080573
0.7,0.02,0.03,0.04,0.45,0.45,0.9130658133487296
0.6499999999999999,0.06,0.02,0.02,0.45,0.45,0.9130645540056757
0.7,0.06,0.01,0.02,0.5,0.4,0.9130614783024475
0.7,0.04,0.01,0.04,0.4,0.45,0.9130585882715928
0.7,0.02,0.02,0.02,0.45,0.45,0.9130544388976841
0.7,0.04,0.03,0.02,0.45,0.45,0.9130362107142485
0.6499999999999999,0.06,0.01,0.02,0.45,0.5,0.9130336920281406
0.6499999999999999,0.06,0.03,0.02,0.4,0.5,0.9130216879055679
0.7,0.08,0.02,0.02,0.5,0.45,0.9130187978747133
0.5999999999999999,0.06,0.01,0.02,0.45,0.4,0.9130181682031863
0.7,0.04,0.02,0.02,0.5,0.5,0.9130181682031863
0.7,0.06,0.01,0.04,0.5,0.45,0.9130167231877588
0.5999999999999999,0.06,0.02,0.02,0.4,0.45,0.9130160935162319
0.6499999999999999,0.02,0.01,0.04,0.4,0.5,0.9130146485008046
0.6499999999999999,0.02,0.03,0.02,0.4,0.5,0.9130132034853772
0.7,0.06,0.01,0.02,0.45,0.45,0.9130080530951947
0.6499999999999999,0.02,0.03,0.04,0.4,0.45,0.9130047190651864
0.7,0.06,0.02,0.02,0.5,0.5,0.9129984950043233
0.6499999999999999,0.06,0.03,0.02,0.4,0.45,0.9129962346449956
0.5999999999999999,0.02,0.02,0.02,0.45,0.4,0.9129935302865143
0.6499999999999999,0.08,0.02,0.04,0.4,0.4,0.912993344614141
0.6499999999999999,0.06,0.02,0.04,0.4,0.45,0.9129920852710869
0.6499999999999999,0.08,0.01,0.02,0.45,0.4,0.9129877502248048
0.7,0.08,0.02,0.04,0.45,0.5,0.9129647429959336
0.7,0.08,0.01,0.02,0.5,0.5,0.9129612232935518
0.6499999999999999,0.06,0.02,0.04,0.4,0.4,0.912954627887942
